Depth (m)	NH4	Age
Midpoint	(ppb)	(yrs BP)

517.275	5.88	2350.9
517.825	7.77	2353.6
518.375	3.95	2356.3
518.925	7.05	2359.1
519.475	3.96	2362.0
520.025	4.83	2365.2
520.575	3.39	2368.4
521.125	7.27	2371.5
521.675	7.27	2374.4
522.225	4.96	2377.2
522.775	2.51	2380.0
523.325	3.94	2382.9
523.875	13.42	2385.7
524.425	36.99	2388.5
524.975	5.11	2391.4
525.525	13.94	2394.7
526.075	7.14	2397.9
526.625	4.91	2400.8
527.175	4.65	2403.8
527.725	3.17	2407.0
528.275	3.99	2410.0
528.825	3	2412.9
529.375	3.89	2415.9
529.925	6.45	2419.0
530.475	6.63	2421.9
531.025	3.92	2424.8
531.575	4.2	2427.8
532.125	9.06	2431.0
532.675	4.04	2433.9
533.225	7.32	2436.9
533.775	8.16	2440.0
534.325	3.7	2443.0
534.875	3.36	2445.9
535.425	6.57	2448.7
535.975	5.28	2451.6
536.525	6.98	2454.6
537.075	8.65	2457.4
537.625	8.1	2460.4
538.175	6.17	2463.5
538.725	4.08	2466.4
539.275	7.13	2469.4
539.825	6.39	2472.5
540.375	14.74	2475.7
540.925	26.35	2478.9
541.475	22.93	2481.8
542.025	5.79	2484.7
542.575	4.27	2487.5
543.125	12.43	2490.3
543.675	17.52	2493.2
544.225	15.67	2496.0
544.775	3.25	2498.9
545.325	7.77	2501.7
545.875	3.42	2504.5
546.425	3.87	2507.4
546.975	3.41	2510.2
547.525	4.35	2513.1
548.075	5.41	2516.0
548.625	5.17	2519.0
549.175	4.71	2521.9
549.725	2.34	2524.8
550.275	6.14	2527.6
550.825	6.26	2530.5
551.375	4.29	2533.5
551.925	8.81	2536.3
552.475	2.8	2539.5
553.025	14.58	2543.0
553.575	69.58	2546.2
554.125	15.03	2549.1
554.675	9.93	2552.0
555.225	4.67	2555.0
555.775	15.36	2558.1
556.325	6.79	2561.2
556.875	5.71	2564.2
557.425	3.08	2567.2
557.975	9.78	2570.1
558.525	3.81	2573.1
559.075	4.28	2576.2
559.625	6.1	2579.1
560.175	6.46	2581.9
560.725	6.14	2584.9
