Depth (m)	Ca	Age
Midpoint	(ppb)	(yr B.P.)

1732.775	20.80	14141.5
1733.325	22.80	14150.5
1733.875	25.20	14160.0
1734.425	24.00	14169.5
1734.975	26.40	14179.0
1735.525	22.80	14188.5
1736.075	33.60	14197.5
1736.625	29.20	14206.5
1737.175	20.80	14216.5
1737.725	25.20	14226.5
1738.275	26.40	14235.5
1738.825	23.60	14244.5
1739.375	24.00	14253.5
1739.925	16.40	14262.5
1740.475	22.00	14272.0
1741.025	19.20	14281.5
1741.575	18.00	14290.0
1742.125	19.60	14298.5
1742.675	18.40	14307.0
1743.225	24.00	14315.5
1743.775	20.80	14325.0
1744.325	15.20	14334.0
1744.875	15.60	14342.5
1745.425	19.20	14351.5
1745.975	37.20	14360.0
1746.525	25.20	14368.5
1747.075	20.40	14378.0
1747.625	18.40	14387.0
1748.175	15.20	14395.5
1748.725	16.80	14405.0
1749.275	18.00	14415.0
1749.825	26.80	14424.5
1750.375	39.60	14434.5
1750.925	33.60	14444.5
1751.475	22.80	14454.0
1752.025	28.00	14464.5
1752.575	38.80	14475.5
1753.125	49.20	14487.0
1753.675	98.80	14500.0
1754.225	80.40	14513.5
1754.775	142.80	14529.0
1755.325	148.00	14547.0
1755.875	153.20	14565.0
1756.425	134.40	14581.0
1756.975	124.00	14594.5
1757.525	126.00	14609.0
1758.075	132.40	14623.5
1758.625	130.00	14637.0
1759.175	120.80	14652.0
1759.725	147.60	14671.5
1760.275	127.20	14690.5
1760.825	123.20	14705.0
1761.375	156.00	14720.0
1761.925	152.00	14734.5
1762.475	161.20	14748.0
1763.025	162.80	14764.0
1763.575	166.00	14780.5
1764.125	167.20	14795.5
1764.675	188.80	14812.5
1765.225	187.20	14830.0
1765.775	147.20	14845.0
1766.325	182.80	14861.0
1766.875	232.80	14877.5
1767.425	172.00	14892.5
1767.975	185.20	14907.5
1768.525	140.00	14921.5
1769.075	196.80	14934.5
1769.625	248.80	14949.0
1770.175	167.60	14965.5
1770.725	172.80	14981.0
1771.275	210.40	14996.0
1771.825	219.20	15011.0
1772.375	171.20	15026.0
1772.925	180.80	15042.5
1773.475	162.80	15059.0
1774.025	142.00	15076.0
1774.575	186.00	15092.0
1775.125	174.80	15108.5
1775.675	189.20	15126.5
1776.225	218.00	15146.5
1776.775	177.60	15168.0
1777.325	177.60	15185.5
1777.875	178.00	15200.0
1778.425	186.00	15214.5
1778.975	178.40	15230.0
1779.525	176.80	15244.5
1780.075	233.20	15264.0
1780.625	172.40	15284.5
1781.175	234.40	15301.0
1781.725	210.80	15318.0
1782.275	215.60	15335.5
1782.825	192.40	15353.5
1783.375	204.80	15371.0
1783.925	223.20	15388.0
1784.475	227.60	15405.0
1785.025	205.60	15422.5
1785.575	242.80	15439.0
1786.125	336.00	15457.5
1786.675	275.60	15480.0
1787.225	354.40	15501.5
1787.775	323.20	15521.5
1788.325	273.20	15541.5
1788.875	442.80	15562.0
1789.425	312.40	15583.5
1789.975	214.40	15602.0
1790.525	257.60	15618.5
1791.075	312.80	15635.5
1791.625	250.80	15651.0
1792.175	244.80	15666.5
1792.725	216.00	15681.5
1793.275	297.60	15696.0
1793.825	223.20	15712.0
1794.375	295.60	15727.5
1794.925	239.60	15744.0
1795.475	290.40	15760.0
1796.025	324.00	15777.0
1796.575	285.60	15795.5
1797.125	384.80	15813.5
1797.675	246.40	15831.0
1798.225	353.20	15847.5
1798.775	356.80	15862.5
1799.325	238.00	15877.0
1799.875	359.20	15891.5
1800.425	358.00	15906.0
