GRIP Depth Age Scale from Flow Modeling

REFERENCES: 

Johnsen, S.J., H.B. Clausen, W. Dansgaard, N.S. Gundestrup, C.U. Hammer, U.
Andersen, K.K. Andersen, C.S. Hvidberg, D. Dahl-Jensen, J.P. Steffensen, H.
Shoji, A.E. Sveinbjörnsdóttir, J.W.C. White, J. Jouzel, and D. Fisher.
1997. The d18O record along the Greenland Ice Core Pproject deep ice core
and the problem of possible Eemian climatic instability. Journal of
Geophysical Research 102:26397-26410.

DATA DESCRIPTION: 

This file contains the GRIP timescale ss09.  This is one of several
published depth age scales for the GRIP core.  It is based on a
Dansgaard-Johnsen (1969) type flow model, with a 1500 m lower shear layer,
13.5% bottom sliding and accumulation rates which are a function of the
d18O values: 23.0 cm of ice at -35.2 per mil with 8% and 18% change per
per mil at -35.2 per mil and -40 per mil, respectively.  The d18O values
are given in the file gripd18O.dat.  See also the stratigraphic ages by
Hammer et al. (1997), presented in the file gripstrat.dat. 

IMPORTANT NOTE: for most of the GRIP files on this CDROM, we have used
this timescale.  In some cases, ages were provided and these are not
necessarily on identical timescales.  Please refer to the document "A
note on the timescales" for more information. 

DATA: 

Depth (m)	Age (yrs BP)
592.90	2764.2
593.45	2767.4
594.00	2770.4
594.55	2773.3
595.10	2776.5
595.65	2779.6
596.20	2782.6
596.75	2785.8
597.30	2788.9
597.85	2791.8
598.40	2794.7
598.95	2797.8
599.50	2800.6
600.05	2804.1
600.60	2807
601.15	2810
601.70	2813.2
602.25	2816.2
602.80	2819
603.35	2822.1
603.90	2825.2
604.45	2828.4
605.00	2831.4
605.55	2834.7
606.10	2838
606.65	2841
607.20	2844.1
607.75	2847.2
608.30	2850.4
608.85	2853.8
609.40	2856.9
609.95	2860.1
610.50	2863.6
611.05	2866.5
611.60	2869.5
612.15	2872.4
612.70	2875.4
613.25	2878.7
613.80	2881.7
614.35	2884.9
614.90	2887.9
615.45	2891.4
616.00	2894.8
616.55	2898.1
617.10	2901.2
617.65	2904.4
618.20	2907.6
618.75	2910.7
619.30	2913.7
619.85	2916.8
620.40	2919.9
620.95	2922.8
621.50	2925.9
622.05	2929
622.60	2932.1
623.15	2935.2
623.70	2938.1
624.25	2941.1
624.80	2944
625.35	2947.2
625.90	2950.3
626.45	2953.2
627.00	2956.4
627.55	2959.7
628.10	2962.8
628.65	2966
629.20	2968.8
629.75	2972
630.30	2975.1
630.85	2978.2
631.40	2981.2
631.95	2984.3
632.50	2987.7
633.05	2990.7
633.60	2993.7
634.15	2997
634.70	3000.3
635.25	3003.5
635.80	3006.7
636.35	3009.8
636.90	3013.3
637.45	3016.5
638.00	3019.5
638.55	3022.9
639.10	3026.3
639.65	3029.5
640.20	3032.4
640.75	3035.5
641.30	3038.6
641.85	3041.7
642.40	3044.6
642.95	3048.2
643.50	3051.6
644.05	3054.9
644.60	3058.3
645.15	3061.5
645.70	3064.4
646.25	3067.4
646.80	3070.9
647.35	3074.1
647.90	3077.1
648.45	3080.2
649.00	3083.4
649.55	3086.4
650.10	3089.5
650.65	3092.5
651.20	3096.1
651.75	3099.7
652.30	3102.8
652.85	3106
653.40	3109.2
653.95	3112.4
654.50	3115.6
655.05	3118.8
655.60	3122.1
656.15	3125.6
656.70	3128.8
657.25	3132
657.80	3135.3
658.35	3138.6
658.90	3141.9
659.45	3145.3
660.00	3148.6
660.55	3151.8
661.10	3154.8
661.65	3157.8
662.20	3160.8
662.75	3163.8
663.30	3166.7
663.85	3170
664.40	3173.2
664.95	3176.4
665.50	3179.5
666.05	3182.9
666.60	3186.4
667.15	3189.5
667.70	3192.7
668.25	3195.8
668.80	3199.2
669.35	3202.5
669.90	3205.9
670.45	3209.3
671.00	3212.8
671.55	3215.8
672.10	3219.3
672.65	3222.3
673.20	3225.5
673.75	3228.6
674.30	3231.5
674.85	3234.9
675.40	3238
675.95	3241.1
676.50	3244.4
677.05	3247.5
677.60	3250.5
678.15	3253.8
678.70	3257
679.25	3260.1
679.80	3263.3
680.35	3266.4
680.90	3269.4
681.45	3272.5
682.00	3275.6
682.55	3278.9
683.10	3281.9
683.65	3285
684.20	3288.2
684.75	3291.4
685.30	3294.6
685.85	3297.7
686.40	3300.7
686.95	3303.8
687.50	3307
688.05	3310.2
688.60	3313.2
689.15	3316.1
689.70	3319.3
690.25	3322.3
690.80	3325.6
691.35	3328.9
691.90	3332.1
692.45	3335.5
693.00	3338.7
693.55	3342
694.10	3345.2
694.65	3348.2
695.20	3351.6
695.75	3354.7
696.30	3358
696.85	3361.1
697.40	3364
697.95	3367.4
698.50	3370.6
699.05	3374
699.60	3377.3
700.15	3380.7
700.70	3384.1
701.25	3387.3
701.80	3390.8
702.35	3393.9
702.90	3397.2
703.45	3400.3
704.00	3403.5
704.55	3407
705.10	3410.2
705.65	3413.4
706.20	3416.7
706.75	3419.9
707.30	3423
707.85	3426.2
708.40	3430.1
708.95	3433.3
709.50	3436.6
