GISP2 Bidecadal Oxygen Isotope Data

REFERENCES: 

Stuiver, M., T.F. Braziunas, P.M. Grootes, and G.A. Zielinski. 1997. Is
there evidence for solar forcing of climate in the GISP2 oxygen isotope
record?  Quaternary Research 48:259-266.

Stuiver, M., P.M. Grootes, and T.F. Braziunas. 1995. The GISP2 18O climate
record of the past 16,500 years and the role of the sun, ocean and
volcanoes. Quaternary Research 44:341-354.

Meese, D.A., R.B. Alley, R.J. Fiacco, M.S. Germani, A.J. Gow, P.M. Grootes,
M. Illing, P.A. Mayewski, M.C. Morrison, M. Ram, K.C. Taylor, Q. Yang, and
G.A. Zielinski. 1994. Preliminary depth-agescale of the GISP2 ice core.
Special CRREL Report 94-1, US.

Steig, E.J., P.M. Grootes, and M. Stuiver. 1994. Seasonal precipitaion
timing and ice core records. Science 266:1885-1886.

DATA DESCRIPTION: 

This file contains the GISP2 bidecadal delta 18O data set back to 16,510
yr B.P., measured at the Quaternary Isotope Laboratory, University of
Washington, as of February 1st, 1997.  The timescale includes revisions by
D. A. Meese as of September 1994. The GISP2 depths below 167 meters are
those of the D core; above 167 meters the core depths are those of the B
core + 1.09 meters.  See the file gisp2age.dat for further information on
the timescale. 

Between 1650.29 and 1844.88 meters, the delta 18-O values of this time
series are based on high resolution data (0.2 meter). They differ slightly
from the 2-meter time series (file UW2md18O.dat). 

The data columns represent: 

(1) top depths of intervals (in meters)

(2) mean delta 18-O values (in per mil) over bidecadal intervals starting
at top depths.  Standard deviation in a single delta 18-O measurement is
0.14 per mil. Multiple measurements (such as for the ones below) reduce
the standard deviation to the 0.05 to 0.1 per mil range. 

(3) layer count ages at top depths (in yr BP) where 0 BP represents AD
1950 SUMMER to AD 1949 SUMMER

DATA:		

Depth	d18O	Age (top)
Top (m)	(per mil)	(yr BP)

1704	-41.38	12590
1704.53	-40.61	12610
1705.05	-41.81	12630
1705.56	-40.84	12650
1706.07	-40.64	12670
1706.57	-40.9	12690
1707.09	-39.7	12710
1707.68	-38.83	12730
1708.24	-39.03	12750
1708.76	-40.57	12770
1709.3	-40.21	12790
1709.84	-39.86	12810
1710.42	-39.36	12830
1711.03	-39.63	12850
1711.64	-39.79	12870
1712.29	-38.51	12890
1713	-38.27	12910
1713.8	-38.38	12930
1714.75	-37.39	12950
1715.71	-38.78	12970
1716.67	-38.27	12990
1717.65	-37.23	13010
1718.54	-38.79	13030
1719.39	-38.28	13050
1720.3	-38.52	13070
1721.26	-39.28	13090
1722.11	-40.02	13110
1722.82	-41.96	13130
1723.47	-39.25	13150
1724.1	-38.87	13170
1724.74	-39.62	13190
1725.46	-39.38	13210
1726.21	-39.92	13230
1726.9	-38.15	13250
1727.68	-38.72	13270
1728.43	-37.99	13290
1729.18	-39.21	13310
1730.07	-38.14	13330
1730.81	-37.31	13350
1731.65	-37.38	13370
1732.6	-37.8	13390
1733.5	-37.63	13410
1734.36	-37.42	13430
1735.27	-38.91	13450
1736.17	-37.24	13470
1737.05	-37.85	13490
1738.05	-36.9	13510
1739	-37.19	13530
1740	-37.93	13550
1741.15	-37.04	13570
1742.14	-37.36	13590
1743.04	-38.73	13610
1743.84	-37.84	13630
1744.64	-37.7	13650
1745.48	-37.85	13670
1746.36	-37.79	13690
1747.3	-37.42	13710
1748.29	-37.97	13730
1749.26	-37.35	13750
1750.32	-37.17	13770
1751.35	-37.23	13790
1752.33	-37.46	13810
1753.3	-37.75	13830
1754.3	-37.98	13850
1755.27	-37.45	13870
1756.17	-38.09	13890
1757.05	-37.95	13910
1757.95	-37.48	13930
1759	-37.35	13950
1759.91	-37.56	13970
1760.86	-37.89	13990
1761.85	-40.27	14010
1762.57	-38.83	14030
1763.24	-38.79	14050
1763.93	-39.43	14070
1764.86	-37.79	14090
1765.81	-38	14110
1766.84	-37.12	14130
1768.05	-37.98	14150
1769.1	-37.48	14170
1770.16	-37.14	14190
1771.23	-37.49	14210
1772.35	-36.69	14230
1773.39	-37.25	14250
1774.47	-36.45	14270
1775.63	-36.12	14290
1776.78	-35.26	14310
1777.94	-36	14330
1779.23	-36.51	14350
1780.39	-36.73	14370
1781.53	-35.7	14390
1782.67	-35.9	14410
1783.88	-35.44	14430
1785.2	-35.85	14450
1786.5	-35.08	14470
1787.75	-34.98	14490
1789	-35.31	14510
1790.2	-35.58	14530
1791.5	-35.91	14550
1792.75	-36.18	14570
1793.94	-36.58	14590
1795	-36.69	14610
1795.95	-36.5	14630
1797	-38.16	14650
1797.87	-39.45	14670
1798.45	-39.89	14690
1798.97	-39.75	14710
1799.49	-41.46	14730
