age (yr)	total sulfate (ppb)	volcanic sulfate

2349.56	25.74	0
2351.78	33.91	0
2354.60	112.10	52
2356.83	31.70	0
2359.38	26.46	0
2361.63	94.95	68
2363.83	33.62	0
2373.50	29.73	0
2375.12	46.88	0
2377.22	25.98	0
2379.47	32.08	4
2381.65	34.63	4
2384.18	29.06	0
2385.98	29.97	0
2388.36	25.55	0
2390.58	47.21	0
2399.00	31.46	0
2406.89	38.66	0
2408.70	35.35	0
2410.86	52.16	18
2413.21	39.19	0
2415.86	33.91	0
2418.38	39.53	0
2420.26	41.50	0
2422.33	31.99	0
2424.60	65.51	24
2427.10	35.45	0
2429.44	38.81	0
2431.63	36.79	0
2434.10	35.16	0
2436.53	46.54	14
2438.79	62.58	25
2441.25	48.41	3
2443.75	23.63	0
2446.21	45.53	3
2448.59	32.32	0
2450.75	74.30	29
2453.41	28.34	0
2455.65	31.99	0
2458.21	40.97	0
2460.38	24.54	8
2462.56	26.22	0
2465.00	27.76	0
2466.36	44.67	10
2469.65	24.93	0
2471.84	27.57	0
2474.25	28.96	0
2476.90	33.14	0
2479.05	51.10	10
2480.64	30.11	2
2483.42	41.69	4
2485.50	26.70	0
2487.38	18.59	0
2494.55	41.88	5
2496.89	29.25	0
2500.45	30.07	0
2503.05	32.28	0
2505.24	33.57	0
2507.78	32.90	0
2509.97	30.64	0
2511.96	38.09	0
2514.50	33.62	0
2516.69	24.30	0
2519.10	30.98	0
2521.37	24.35	0
2524.06	28.15	0
2526.24	20.99	0
2527.90	29.97	0
2531.08	21.28	0
2533.39	165.89	101
2535.64	41.11	2
2538.09	29.20	0
2541.14	34.20	0
2546.18	44.19	5
2548.44	30.59	0
2550.77	23.25	0
2552.83	46.59	3
2555.30	34.87	0
2558.25	27.38	0
2560.44	81.70	51
2562.57	55.81	2
2565.10	31.32	0
2567.47	72.28	26
2569.58	83.71	39
2571.92	28.53	0
2574.60	32.56	0
2577.13	43.99	1
2579.47	30.98	0
2581.88	33.62	0
2584.37	28.82	0
2586.65	28.19	0
2588.80	42.46	0
2591.06	42.99	0
2593.55	58.88	24
2595.76	24.88	0
2597.84	38.42	0
2600.46	32.80	0
2602.57	31.89	0
2605.05	24.74	0
2607.24	44.38	0
2609.44	46.20	13
2611.70	92.55	50
2613.89	35.78	7
2615.89	25.74	0
2618.29	46.64	0
2620.66	48.03	6
2623.06	71.95	40
2625.36	48.46	10
2627.40	21.28	0
2629.83	34.10	0
2632.19	31.41	0
2634.50	29.01	0
2636.63	26.75	0
2638.86	68.68	26
