Depth	ECM	Age
Top (m)	(microeq./kg)	Top (yr BP)

518.65	1.22	2358
519.2	1	2361
519.75	1.18	2364
520.3	1.25	2367
520.85	1.23	2370
521.4	0.9	2373
521.95	1.28	2376
522.5	1.36	2379
523.05	1.57	2381
523.6	0.8	2384
524.15	0.85	2387
524.7	1.4	2390
525.25	1.02	2393
525.8	1.31	2396
526.35	3.39	2399
526.9	1.1	2402
527.45	1.15	2405
528	1.18	2409
528.55	1.4	2411
529.1	1.45	2414
529.65	1.28	2418
530.2	1.12	2420
530.75	1.35	2423
531.3	1.44	2426
531.85	1.13	2430
532.4	1.39	2433
532.95	1.06	2435
533.5	0.65	2438
534.05	1.09	2442
534.6	0.92	2444
535.15	0.65	2447
535.7	1.01	2450
536.25	1.33	2453
536.8	1.11	2456
537.35	0.82	2459
537.9	1.35	2462
538.45	1.91	2465
539	1.47	2468
539.55	1.03	2471
540.1	0.87	2474
540.65	0.91	2477
541.2	0.86	2480
541.75	1.28	2483
542.3	1.24	2486
542.85	1.33	2489
543.4	1.05	2492
543.95	1.13	2495
544.5	1.1	2497
545.05	0.78	2500
545.6	0.96	2503
546.15	0.65	2506
546.7	0.59	2509
547.25	1.17	2512
547.8	1.01	2515
548.35	0.99	2517
548.9	0.94	2520
549.45	1.22	2523
550	1.29	2526
550.55	1.09	2529
551.1	1.54	2532
551.65	0.86	2535
552.2	1.09	2538
552.75	1.17	2541
553.3	2.21	2545
553.85	1.37	2548
554.4	1.11	2551
554.95	1.17	2553
555.5	0.81	2557
556.05	1.01	2560
556.6	0.98	2563
557.15	0.88	2566
557.7	0.91	2569
558.25	0.6	2572
558.8	0.9	2575
559.35	1.08	2578
559.9	0.64	2580
560.45	1.04	2583
561	0.88	2586
561.55	0.98	2589
562.1	1.16	2592
562.65	0.73	2596
563.2	1.32	2598
563.75	1.32	2601
564.3	1.08	2604
564.85	1.06	2607
565.4	1.18	2611
565.95	1.08	2614
566.5	1.41	2617
567.05	1.32	2620
567.6	1.21	2623
568.15	1.3	2626
568.7	1.63	2629
569.25	1.5	2632
569.8	1.24	2635
570.35	1.21	2638
570.9	1.2	2641
571.45	1.28	2644
572	1.73	2647
572.55	1.35	2650
573.1	1.43	2653
573.65	1.52	2657
574.2	1.71	2659
574.75	1.37	2662
575.3	0.97	2665
575.85	0.82	2668
576.4	1.4	2671
576.95	1.33	2675
577.5	1.23	2677
578.05	1.25	2680
578.6	1.14	2683
579.15	1.19	2686
579.7	1.32	2689
580.25	2.21	2693
580.8	1.48	2696
581.35	1.47	2699
581.9	1.42	2702
582.45	0.74	2705
583	0.87	2708
583.55	1.1	2711
584.1	0.9	2715
584.65	0.94	2718
585.2	1.11	2721
585.75	2.38	2724
586.3	3.02	2727
586.85	2.06	2730
587.4	0.78	2733
587.95	1.04	2736
588.5	1.23	2739
589.05	0.88	2742
589.6	0.62	2746
590.15	1.13	2749
590.7	0.91	2752
591.25	0.92	2755
591.8	0.83	2758
592.35	1.06	2761
592.9	1.17	2764
593.45	0.91	2767
594	0.75	2770
594.55	1.04	2773
595.1	1.22	2776
595.65	1	2780
596.2	1.06	2783
596.75	0.86	2786
597.3	0.94	2789
597.85	1.12	2792
598.4	1.54	2795
598.95	1.27	2798
599.5	1.6	2801
600.05	1.24	2804
600.6	1.23	2807
601.15	1.2	2810
601.7	1.32	2813
602.25	0.99	2816
602.8	0.68	2819
603.35	0.82	2822
603.9	1.12	2825
604.45	1.06	2828
605	1.06	2831
605.55	1	2835
606.1	1.5	2838
606.65	1.26	2841
607.2	1.19	2844
607.75	1.12	2847
608.3	0.95	2850
608.85	1.31	2854
609.4	1.3	2857
609.95	2.24	2860
610.5	1.14	2864
611.05	0.94	2867
611.6	1.12	2869
612.15	0.84	2872
612.7	0.86	2875
613.25	0.91	2879
613.8	0.98	2882
614.35	1.25	2885
614.9	0.94	2888
615.45	1.07	2891
616	1.1	2895
616.55	0.64	2898
617.1	0.52	2901
617.65	0.91	2904
618.2	1.04	2908
618.75	0.96	2911
619.3	1.18	2914
619.85	1.35	2917
620.4	1.94	2920
620.95	1.24	2923
621.5	0.89	2926
622.05	0.84	2929
622.6	1.29	2932
623.15	1.11	2935
623.7	0.87	2938
624.25	1	2941
624.8	1.07	2944
625.35	1.29	2947
625.9	1.53	2950
626.45	1.32	2953
627	1.19	2956
627.55	1.2	2960
628.1	1.47	2963
628.65	1.36	2966
629.2	1.71	2969
629.75	1.57	2972
630.3	1.35	2975
630.85	1.39	2978
631.4	1.68	2981
631.95	1.15	2984
632.5	1.76	2988
633.05	1.32	2991
633.6	1.32	2994
634.15	1.65	2997
634.7	0.93	3000
635.25	0.75	3003
635.8	1.34	3007
636.35	1.04	3010
636.9	0.61	3013
637.45	0.9	3017
638	0.86	3019
638.55	0.99	3023
639.1	0.99	3026
639.65	1.08	3029
640.2	1.59	3032
640.75	1.09	3036
641.3	2.16	3039
641.85	1.7	3042
642.4	1.56	3045
642.95	1.52	3048
643.5	1.3	3052
644.05	1.26	3055
644.6	1.62	3058
645.15	1.63	3061
645.7	1.15	3064
646.25	1.26	3067
646.8	1.4	3071
647.35	1.06	3074
647.9	1.09	3077
648.45	1.1	3080
649	1.28	3083
649.55	1.01	3086
650.1	1.52	3090
650.65	0.97	3093
651.2	1.29	3096
651.75	1.37	3100
652.3	1.26	3103
652.85	1.18	3106
653.4	1.61	3109
653.95	0.71	3112
654.5	0.77	3116
655.05	1.01	3119
655.6	0.96	3122
656.15	0.95	3126
656.7	0.78	3129
657.25	0.72	3132
657.8	0.75	3135
658.35	0.62	3139
658.9	1.69	3142
659.45	1.19	3145
660	1.23	3149
660.55	1.01	3152
661.1	1.72	3155
661.65	1.1	3158
662.2	1.02	3161
662.75	1.05	3164
663.3	1.19	3167
663.85	1.62	3170
664.4	1.39	3173
